====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 150 keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 9.131E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =25.00
 Total Target Vacancies     = 82 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  1200.00E-06  2150.90E-05  
400010.E-03  1800.00E-06  9989.43E-07  
600010.E-03  3600.00E-06  3877.16E-06  
800010.E-03  1400.00E-06  1570.12E-06  
100001.E-02  1800.00E-06  6078.06E-07  
120001.E-02  1600.00E-06  6620.07E-06  
140001.E-02  2400.00E-06  1197.12E-06  
160001.E-02  2600.00E-06  6477.61E-06  
180001.E-02  1200.00E-06  2355.95E-06  
200001.E-02  2200.00E-06  3670.57E-06  
220001.E-02  4000.00E-06  6755.11E-06  
240001.E-02  6000.00E-06  1154.92E-05  
260001.E-02  7200.00E-06  1346.84E-05  
280001.E-02  5400.00E-06  8612.22E-06  
300001.E-02  6400.00E-06  9581.18E-06  
320001.E-02  1100.00E-05  1771.29E-05  
340001.E-02  4800.00E-06  3159.89E-06  
360001.E-02  9600.00E-06  9448.29E-06  
380001.E-02  9800.00E-06  1726.55E-05  
400001.E-02  1180.00E-05  1327.45E-05  
420001.E-02  1600.00E-05  1353.89E-05  
440001.E-02  1980.00E-05  1325.82E-05  
460001.E-02  2080.00E-05  1414.03E-05  
480001.E-02  1440.00E-05  1106.22E-05  
500001.E-02  8400.00E-06  1491.77E-05  
520001.E-02  4000.00E-07  2455.25E-07  
540001.E-02  4000.00E-07  1253.57E-07  
560001.E-02  2200.00E-06  2503.74E-06  
580001.E-02  6000.00E-07  3671.36E-07  
600001.E-02  1400.00E-06  1421.26E-08  
620001.E-02  0000.00E+00  0000.00E+00  
640001.E-02  0000.00E+00  0000.00E+00  
660001.E-02  0000.00E+00  0000.00E+00  
680001.E-02  0000.00E+00  0000.00E+00  
700001.E-02  0000.00E+00  0000.00E+00  
720001.E-02  0000.00E+00  0000.00E+00  
740001.E-02  0000.00E+00  0000.00E+00  
760001.E-02  0000.00E+00  0000.00E+00  
780001.E-02  0000.00E+00  0000.00E+00  
800001.E-02  0000.00E+00  0000.00E+00  
820001.E-02  0000.00E+00  0000.00E+00  
840001.E-02  0000.00E+00  0000.00E+00  
860001.E-02  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  
920001.E-02  0000.00E+00  0000.00E+00  
940001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  0000.00E+00  0000.00E+00  
104000.E-01  0000.00E+00  0000.00E+00  
106000.E-01  0000.00E+00  0000.00E+00  
108000.E-01  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  
112000.E-01  0000.00E+00  0000.00E+00  
114000.E-01  0000.00E+00  0000.00E+00  
116000.E-01  0000.00E+00  0000.00E+00  
118000.E-01  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  
122000.E-01  0000.00E+00  0000.00E+00  
124000.E-01  0000.00E+00  0000.00E+00  
126000.E-01  0000.00E+00  0000.00E+00  
128000.E-01  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  0000.00E+00  0000.00E+00  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  
142000.E-01  0000.00E+00  0000.00E+00  
144000.E-01  0000.00E+00  0000.00E+00  
146000.E-01  0000.00E+00  0000.00E+00  
148000.E-01  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  
152000.E-01  0000.00E+00  0000.00E+00  
154000.E-01  0000.00E+00  0000.00E+00  
156000.E-01  0000.00E+00  0000.00E+00  
158000.E-01  0000.00E+00  0000.00E+00  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
